Rank,Title,Band,Country,Year,Compilation,Live,YearRank,DecadeRank,OverallRank,RankScore,AvgRating,NumRatings,AlbumID
212,Overgrown,James Blake,uk,2013,No,No,29,212,1376,1311,76.361038208,369,39434
213,Virtue,The Voidz,us,2018,No,No,18,213,1378,1308,76.391464233,267,131956
214,Undun,The Roots,us,2011,No,No,32,214,1397,1288,81.399055481,145,20828
215,The Ooz,King Krule,uk,2017,No,No,21,215,1405,1280,76.775863647,232,123065
216,Shaking The Habitual,The Knife,se,2013,No,No,30,216,1406,1279,75.871261597,288,39198
217,Light Up Gold,Parquet Courts,us,2012,No,No,20,217,1408,1279,78.914329529,205,35350
218,Days,Real Estate,us,2011,No,No,33,218,1412,1276,77.024017334,230,19322
219,Kveikur,Sigur R+//3//Q-s,is,2013,No,No,31,219,1413,1273,76.909431458,365,42323
220,Tourist History,Two Door Cinema Club,uk,2010,No,No,21,220,1418,1269,72.638969421,360,10489
221,Grey Area,Little Simz,uk,2019,No,No,9,221,1419,1268,78.719055176,311,149971
222,6 Feet Beneath The Moon,King Krule,uk,2013,No,No,32,222,1422,1262,78.266174316,127,45249
223,2012+AC0-2017,Against All Logic,un,2018,No,No,19,223,1426,1254,80.369003296,342,131183
224,Oil Of Every Pearl's Un+AC0-Insides,SOPHIE,uk,2018,No,No,20,224,1431,1252,77.481452942,257,136775
225,The Bones Of What You Believe,Chvrches,uk,2013,No,No,33,225,1432,1251,75.377098083,310,46612
226,Everything Will Be Alright In The End,Weezer,us,2014,No,No,25,226,1442,1238,74.093544006,312,68127
227,Noel Gallagher's High Flying Birds,Noel Gallagher's High Flying Birds,uk,2011,No,No,34,227,1444,1235,74.553535461,273,19334
228,Stranger In The Alps,Phoebe Bridgers,us,2017,No,No,22,228,1447,1229,79.303794861,139,122717
229,Dogrel,Fontaines D.C.,ie,2019,No,No,10,229,1452,1227,78.640472412,195,152145
230,It's Album Time,Todd Terje,no,2014,No,No,26,230,1453,1226,75.961433411,262,57613
231,Fear Inoculum,Tool,us,2019,No,No,11,231,1461,1221,77.697296143,299,157580
232,Ten Love Songs,Susanne Sundf+//3//Q-r,no,2015,No,No,22,232,1463,1218,78.039703369,212,75974
233,XXX,Danny Brown,us,2011,No,No,35,233,1470,1213,79.207893372,282,19858
234,Crystal Castles (II),Crystal Castles,ca,2010,No,No,22,234,1478,1204,75.293014526,259,10636
235,Coexist,The xx,uk,2012,No,No,21,235,1487,1197,70.555274963,415,28261
236,Anima,Thom Yorke,uk,2019,No,No,12,236,1500,1184,79.41179657,339,155395
237,Before Today,Ariel Pink's Haunted Graffiti,us,2010,No,No,23,237,1505,1179,77.904701233,264,10537
238,Puberty 2,Mitski,un,2016,No,No,24,238,1508,1179,76.753814697,234,98373
239,Polygondwanaland,King Gizzard +ACY- The Lizard Wizard,au,2017,No,No,23,239,1516,1170,80.295608521,206,125297
240,This Old Dog,Mac DeMarco,ca,2017,No,No,24,240,1519,1168,76.439254761,380,109944
241,Anti,Rihanna,bb,2016,No,No,25,241,1532,1152,70.435913086,243,93424
